sample	R1	R2	singletons
HG03248	897	897	2039
NA18939	718	718	1679
NA19650	978	978	3110
HG02587	1006	1006	2042
HG00732	1016	1016	2747
NA24385	0	0	0
HG03683	755	755	1483
HG00512	768	768	1913
HG02818	1064	1064	2037
HG04036	843	843	2531
HG00733	968	968	2264
NA19317	736	736	2960
HG00864	579	579	1862
HG00513	724	724	2682
NA12329	920	920	2704
NA19983	1120	1120	3308
HG02492	780	780	1739
NA19331	1033	1033	1690
HG03452	862	862	2675
HG03371	1065	1065	2223
NA19434	1141	1141	1943
HG03732	1026	1026	2447
HG01114	873	873	1639
HG02011	1120	1120	2213
NA20847	623	623	1866
HG02666	685	685	2169
HG03065	1056	1056	2598
HG01352	927	927	2856
HG00358	928	928	1856
HG02769	729	729	2747
NA19240	1206	1206	2418
HG03456	1164	1164	3013
NA18534	698	698	1865
NA21487	0	0	0
HG01505	628	628	1707
HG01596	603	603	1966
NA19705	1096	1096	3204
HG00731	804	804	1605
HG02953	975	975	2015
NA18989	797	797	2392
HG04217	881	881	2685
HG02018	676	676	2135
HG03009	806	806	1646
HG00514	756	756	1824
HG03520	785	785	1594
NA19347	712	712	2326
HG00171	791	791	2594
HG02106	767	767	2509
NA19129	927	927	1696
NA19036	1558	1558	2173
NA19239	1007	1007	2051
NA20355	651	651	2436
HG03807	734	734	1835
NA19384	902	902	1940
HG01890	936	936	2002
HG01573	917	917	1791
NA19238	1070	1070	3284
HG00096	989	989	2059
HG00268	1088	1088	1468
HG02282	631	631	2123
NA20509	755	755	2028
HG02554	618	618	1429
NA19836	1136	1136	2925
HG02059	868	868	2282
HG01457	663	663	1634
