sample	region	R1	R2	singletons
HG03248	igk	0	0	0
HG03248	trg	0	0	0
HG03248	trb	0	0	0
HG03248	tra	0	0	0
HG03248	igh	0	0	0
HG03248	igl	0	0	0
NA18939	igk	89	89	266
NA18939	trg	43	43	133
NA18939	trb	45	45	174
NA18939	tra	188	188	276
NA18939	igh	236	236	385
NA18939	igl	117	117	446
NA19650	igk	123	123	568
NA19650	trg	50	50	231
NA19650	trb	53	53	373
NA19650	tra	202	202	670
NA19650	igh	298	298	498
NA19650	igl	252	252	776
HG02587	igk	346	346	641
HG02587	trg	24	24	120
HG02587	trb	35	35	188
HG02587	tra	221	221	409
HG02587	igh	223	223	370
HG02587	igl	156	156	315
HG00732	igk	372	372	709
HG00732	trg	38	38	204
HG00732	trb	57	57	297
HG00732	tra	164	164	539
HG00732	igh	273	273	494
HG00732	igl	114	114	504
NA24385	igk	0	0	0
NA24385	trg	0	0	0
NA24385	trb	0	0	0
NA24385	tra	0	0	0
NA24385	igh	0	0	0
NA24385	igl	0	0	0
HG03683	igk	485	485	630
HG03683	trg	37	37	114
HG03683	trb	64	64	214
HG03683	tra	0	0	0
HG03683	igh	0	0	0
HG03683	igl	167	167	527
HG00512	igk	173	173	458
HG00512	trg	0	0	0
HG00512	trb	27	27	181
HG00512	tra	138	138	354
HG00512	igh	250	250	393
HG00512	igl	180	180	528
HG02818	igk	427	427	568
HG02818	trg	47	47	137
HG02818	trb	49	49	197
HG02818	tra	172	172	346
HG02818	igh	261	261	346
HG02818	igl	108	108	443
HG04036	igk	371	371	756
HG04036	trg	20	20	158
HG04036	trb	50	50	275
HG04036	tra	172	172	479
HG04036	igh	102	102	264
HG04036	igl	129	129	599
HG00733	igk	298	298	562
HG00733	trg	41	41	122
HG00733	trb	58	58	204
HG00733	tra	170	170	393
HG00733	igh	268	268	420
HG00733	igl	133	133	565
NA19317	igk	271	271	676
NA19317	trg	44	44	197
NA19317	trb	21	21	315
NA19317	tra	163	163	592
NA19317	igh	165	165	457
NA19317	igl	72	72	723
HG00864	igk	103	103	300
HG00864	trg	11	11	132
HG00864	trb	31	31	224
HG00864	tra	146	146	319
HG00864	igh	210	210	422
HG00864	igl	78	78	465
HG00513	igk	134	134	568
HG00513	trg	35	35	194
HG00513	trb	41	41	312
HG00513	tra	224	224	534
HG00513	igh	182	182	395
HG00513	igl	108	108	679
NA12329	igk	174	174	599
NA12329	trg	25	25	178
NA12329	trb	69	69	255
NA12329	tra	179	179	558
NA12329	igh	316	316	467
NA12329	igl	158	158	647
NA19983	igk	528	528	1121
NA19983	trg	47	47	192
NA19983	trb	56	56	311
NA19983	tra	188	188	619
NA19983	igh	173	173	310
NA19983	igl	128	128	757
HG02492	igk	116	116	336
HG02492	trg	49	49	128
HG02492	trb	56	56	182
HG02492	tra	204	204	355
HG02492	igh	137	137	222
HG02492	igl	217	217	520
NA19331	igk	326	326	459
NA19331	trg	35	35	107
NA19331	trb	55	55	197
NA19331	tra	184	184	214
NA19331	igh	286	286	313
NA19331	igl	146	146	401
HG03452	igk	188	188	620
HG03452	trg	41	41	197
HG03452	trb	57	57	324
HG03452	tra	206	206	509
HG03452	igh	234	234	350
HG03452	igl	135	135	678
HG03371	igk	400	400	612
HG03371	trg	19	19	123
HG03371	trb	44	44	234
HG03371	tra	156	156	431
HG03371	igh	238	238	322
HG03371	igl	207	207	503
NA19434	igk	422	422	661
NA19434	trg	33	33	183
NA19434	trb	53	53	236
NA19434	tra	295	295	383
NA19434	igh	338	338	480
NA19434	igl	0	0	0
HG03732	igk	339	339	662
HG03732	trg	41	41	172
HG03732	trb	50	50	225
HG03732	tra	176	176	403
HG03732	igh	283	283	438
HG03732	igl	137	137	547
HG01114	igk	280	280	486
HG01114	trg	50	50	125
HG01114	trb	39	39	160
HG01114	tra	213	213	294
HG01114	igh	137	137	247
HG01114	igl	154	154	327
HG02011	igk	543	543	744
HG02011	trg	50	50	167
HG02011	trb	34	34	242
HG02011	tra	188	188	423
HG02011	igh	125	125	247
HG02011	igl	180	180	390
NA20847	igk	121	121	395
NA20847	trg	26	26	149
NA20847	trb	39	39	223
NA20847	tra	142	142	413
NA20847	igh	186	186	205
NA20847	igl	110	110	481
HG02666	igk	106	106	339
HG02666	trg	25	25	148
HG02666	trb	24	24	234
HG02666	tra	134	134	353
HG02666	igh	293	293	527
HG02666	igl	103	103	568
HG03065	igk	395	395	696
HG03065	trg	38	38	175
HG03065	trb	38	38	247
HG03065	tra	168	168	396
HG03065	igh	300	300	492
HG03065	igl	117	117	593
HG01352	igk	178	178	635
HG01352	trg	39	39	167
HG01352	trb	33	33	248
HG01352	tra	135	135	499
HG01352	igh	401	401	642
HG01352	igl	142	142	667
HG00358	igk	203	203	405
HG00358	trg	65	65	143
HG00358	trb	81	81	210
HG00358	tra	288	288	341
HG00358	igh	135	135	187
HG00358	igl	156	156	572
HG02769	igk	246	246	688
HG02769	trg	28	28	182
HG02769	trb	41	41	279
HG02769	tra	134	134	464
HG02769	igh	171	171	492
HG02769	igl	109	109	643
NA19240	igk	374	374	627
NA19240	trg	20	20	155
NA19240	trb	34	34	250
NA19240	tra	263	263	377
NA19240	igh	307	307	507
NA19240	igl	207	207	503
HG03456	igk	439	439	870
HG03456	trg	39	39	170
HG03456	trb	49	49	264
HG03456	tra	136	136	480
HG03456	igh	368	368	652
HG03456	igl	133	133	577
NA18534	igk	145	145	375
NA18534	trg	32	32	104
NA18534	trb	32	32	164
NA18534	tra	134	134	318
NA18534	igh	277	277	448
NA18534	igl	78	78	457
NA21487	igk	0	0	0
NA21487	trg	0	0	0
NA21487	trb	0	0	0
NA21487	tra	0	0	0
NA21487	igh	0	0	0
NA21487	igl	0	0	0
HG01505	igk	139	139	343
HG01505	trg	19	19	114
HG01505	trb	36	36	153
HG01505	tra	160	160	328
HG01505	igh	184	184	325
HG01505	igl	89	89	446
HG01596	igk	134	134	352
HG01596	trg	29	29	124
HG01596	trb	45	45	228
HG01596	tra	110	110	366
HG01596	igh	185	185	431
HG01596	igl	100	100	465
NA19705	igk	365	365	858
NA19705	trg	42	42	224
NA19705	trb	44	44	354
NA19705	tra	139	139	589
NA19705	igh	284	284	538
NA19705	igl	222	222	643
HG00731	igk	58	58	125
HG00731	trg	49	49	110
HG00731	trb	58	58	188
HG00731	tra	191	191	340
HG00731	igh	287	287	334
HG00731	igl	163	163	508
HG02953	igk	328	328	532
HG02953	trg	56	56	116
HG02953	trb	71	71	214
HG02953	tra	157	157	348
HG02953	igh	215	215	325
HG02953	igl	148	148	481
NA18989	igk	350	350	699
NA18989	trg	33	33	174
NA18989	trb	35	35	243
NA18989	tra	138	138	480
NA18989	igh	119	119	242
NA18989	igl	122	122	555
HG04217	igk	174	174	549
HG04217	trg	30	30	186
HG04217	trb	52	52	260
HG04217	tra	167	167	492
HG04217	igh	325	325	535
HG04217	igl	133	133	664
HG02018	igk	244	244	506
HG02018	trg	21	21	171
HG02018	trb	37	37	271
HG02018	tra	169	169	433
HG02018	igh	40	40	213
HG02018	igl	165	165	542
HG03009	igk	294	294	359
HG03009	trg	34	34	105
HG03009	trb	27	27	157
HG03009	tra	139	139	249
HG03009	igh	199	199	367
HG03009	igl	113	113	409
HG00514	igk	141	141	443
HG00514	trg	26	26	137
HG00514	trb	48	48	191
HG00514	tra	138	138	344
HG00514	igh	209	209	317
HG00514	igl	196	196	394
HG03520	igk	286	286	404
HG03520	trg	51	51	86
HG03520	trb	37	37	221
HG03520	tra	192	192	327
HG03520	igh	107	107	156
HG03520	igl	113	113	400
NA19347	igk	236	236	492
NA19347	trg	25	25	167
NA19347	trb	25	25	262
NA19347	tra	145	145	420
NA19347	igh	220	220	539
NA19347	igl	61	61	448
HG00171	igk	319	319	798
HG00171	trg	44	44	203
HG00171	trb	41	41	349
HG00171	tra	237	237	493
HG00171	igh	38	38	131
HG00171	igl	113	113	622
HG02106	igk	177	177	598
HG02106	trg	29	29	189
HG02106	trb	47	47	249
HG02106	tra	218	218	494
HG02106	igh	194	194	396
HG02106	igl	102	102	583
NA19129	igk	323	323	387
NA19129	trg	58	58	118
NA19129	trb	48	48	182
NA19129	tra	185	185	316
NA19129	igh	178	178	255
NA19129	igl	136	136	438
NA19036	igk	464	464	577
NA19036	trg	94	94	190
NA19036	trb	129	129	289
NA19036	tra	455	455	507
NA19036	igh	338	338	403
NA19036	igl	78	78	207
NA19239	igk	363	363	501
NA19239	trg	27	27	133
NA19239	trb	42	42	199
NA19239	tra	190	190	307
NA19239	igh	280	280	432
NA19239	igl	105	105	479
NA20355	igk	121	121	588
NA20355	trg	25	25	157
NA20355	trb	30	30	269
NA20355	tra	156	156	390
NA20355	igh	226	226	450
NA20355	igl	93	93	582
HG03807	igk	146	146	398
HG03807	trg	27	27	126
HG03807	trb	45	45	171
HG03807	tra	143	143	344
HG03807	igh	270	270	284
HG03807	igl	103	103	513
NA19384	igk	285	285	455
NA19384	trg	42	42	142
NA19384	trb	57	57	217
NA19384	tra	161	161	315
NA19384	igh	244	244	380
NA19384	igl	114	114	431
HG01890	igk	284	284	506
HG01890	trg	34	34	110
HG01890	trb	53	53	211
HG01890	tra	224	224	353
HG01890	igh	207	207	316
HG01890	igl	134	134	506
HG01573	igk	293	293	408
HG01573	trg	27	27	102
HG01573	trb	42	42	166
HG01573	tra	172	172	364
HG01573	igh	275	275	327
HG01573	igl	107	107	426
NA19238	igk	254	254	768
NA19238	trg	39	39	219
NA19238	trb	38	38	340
NA19238	tra	286	286	543
NA19238	igh	319	319	640
NA19238	igl	134	134	775
HG00096	igk	210	210	497
HG00096	trg	34	34	105
HG00096	trb	61	61	200
HG00096	tra	232	232	292
HG00096	igh	326	326	468
HG00096	igl	126	126	498
HG00268	igk	232	232	333
HG00268	trg	76	76	102
HG00268	trb	98	98	159
HG00268	tra	279	279	287
HG00268	igh	206	206	210
HG00268	igl	197	197	377
HG02282	igk	225	225	499
HG02282	trg	21	21	155
HG02282	trb	40	40	256
HG02282	tra	164	164	455
HG02282	igh	90	90	170
HG02282	igl	91	91	589
NA20509	igk	146	146	417
NA20509	trg	24	24	141
NA20509	trb	41	41	231
NA20509	tra	125	125	338
NA20509	igh	313	313	424
NA20509	igl	107	107	477
HG02554	igk	123	123	304
HG02554	trg	29	29	96
HG02554	trb	28	28	181
HG02554	tra	170	170	260
HG02554	igh	206	206	277
HG02554	igl	62	62	311
NA19836	igk	478	478	898
NA19836	trg	30	30	185
NA19836	trb	41	41	298
NA19836	tra	116	116	527
NA19836	igh	352	352	497
NA19836	igl	119	119	522
HG02059	igk	328	328	704
HG02059	trg	20	20	170
HG02059	trb	52	52	228
HG02059	tra	141	141	391
HG02059	igh	154	154	313
HG02059	igl	173	173	477
HG01457	igk	25	25	130
HG01457	trg	32	32	183
HG01457	trb	50	50	233
HG01457	tra	144	144	366
HG01457	igh	321	321	390
HG01457	igl	92	92	332
